"Plot Title: EH-HS02 Can"
"#","Date Time, GMT-03:00","Nível de Água, Metros (LGR S/N: 10631709, SEN S/N: 10260378)","Rain, in (LGR S/N: 10631709, SEN S/N: 10573338)","Máx.: Nível de Água, Metros (LGR S/N: 10631709)","Máx.: Chuva, in (LGR S/N: 10631709)"
168,03/22/18 03:23:30 PM,0.4405,0.000,,
169,03/22/18 03:24:00 PM,0.4405,0.000,,
170,03/22/18 03:24:30 PM,0.4405,0.000,,
171,03/22/18 03:25:00 PM,0.4405,0.000,0.4465,0.000
172,03/22/18 03:25:30 PM,0.4405,0.000,,
173,03/22/18 03:26:00 PM,0.4465,0.000,,
174,03/22/18 03:26:30 PM,0.4405,0.000,,
175,03/22/18 03:27:00 PM,0.4405,0.000,,
176,03/22/18 03:27:30 PM,0.4405,0.000,,
177,03/22/18 03:28:00 PM,0.4405,0.000,,
178,03/22/18 03:28:30 PM,0.4465,0.000,,
179,03/22/18 03:29:00 PM,0.4465,0.000,,
180,03/22/18 03:29:30 PM,0.4465,0.000,,
181,03/22/18 03:30:00 PM,0.4465,0.000,0.4465,0.000
182,03/22/18 03:30:30 PM,0.4465,0.000,,
183,03/22/18 03:31:00 PM,0.4465,0.000,,
184,03/22/18 03:31:30 PM,0.4465,0.000,,
185,03/22/18 03:32:00 PM,0.4465,0.000,,
186,03/22/18 03:32:30 PM,0.4465,0.000,,
187,03/22/18 03:33:00 PM,0.4465,0.000,,
188,03/22/18 03:33:30 PM,0.4465,0.000,,
189,03/22/18 03:34:00 PM,0.4465,0.000,,
190,03/22/18 03:34:30 PM,0.4465,0.000,,
191,03/22/18 03:35:00 PM,0.4465,0.000,0.4465,0.000
192,03/22/18 03:35:30 PM,0.4405,0.000,,
193,03/22/18 03:36:00 PM,0.4465,0.000,,
194,03/22/18 03:36:30 PM,0.4465,0.000,,
195,03/22/18 03:37:00 PM,0.4465,0.000,,
196,03/22/18 03:37:30 PM,0.4465,0.000,,
197,03/22/18 03:38:00 PM,0.4465,0.000,,
198,03/22/18 03:38:30 PM,0.4465,0.000,,
199,03/22/18 03:39:00 PM,0.4465,0.000,,
200,03/22/18 03:39:30 PM,0.4465,0.000,,
201,03/22/18 03:40:00 PM,0.4465,0.000,0.4584,0.000
202,03/22/18 03:40:30 PM,0.4465,0.000,,
203,03/22/18 03:41:00 PM,0.4465,0.000,,
204,03/22/18 03:41:30 PM,0.4584,0.000,,
205,03/22/18 03:42:00 PM,0.4465,0.000,,
206,03/22/18 03:42:30 PM,0.4465,0.000,,
207,03/22/18 03:43:00 PM,0.4465,0.000,,
208,03/22/18 03:43:30 PM,0.4465,0.000,,
209,03/22/18 03:44:00 PM,0.4465,0.000,,
210,03/22/18 03:44:30 PM,0.4524,0.000,,
211,03/22/18 03:45:00 PM,0.4465,0.000,0.4524,0.000
212,03/22/18 03:45:30 PM,0.4524,0.000,,
213,03/22/18 03:46:00 PM,0.4524,0.000,,
214,03/22/18 03:46:30 PM,0.4465,0.000,,
215,03/22/18 03:47:00 PM,0.4465,0.000,,
216,03/22/18 03:47:30 PM,0.4465,0.000,,
217,03/22/18 03:48:00 PM,0.4465,0.000,,
218,03/22/18 03:48:30 PM,0.4465,0.000,,
219,03/22/18 03:49:00 PM,0.4524,0.000,,
220,03/22/18 03:49:30 PM,0.4465,0.000,,
221,03/22/18 03:50:00 PM,0.4465,0.000,0.4524,0.000
222,03/22/18 03:50:30 PM,0.4465,0.000,,
223,03/22/18 03:51:00 PM,0.4465,0.000,,
224,03/22/18 03:51:30 PM,0.4524,0.000,,
225,03/22/18 03:52:00 PM,0.4465,0.000,,
226,03/22/18 03:52:30 PM,0.4524,0.000,,
227,03/22/18 03:53:00 PM,0.4524,0.000,,
228,03/22/18 03:53:30 PM,0.4465,0.000,,
229,03/22/18 03:54:00 PM,0.4465,0.000,,
230,03/22/18 03:54:30 PM,0.4524,0.000,,
231,03/22/18 03:55:00 PM,0.4465,0.000,0.4465,0.000
232,03/22/18 03:55:30 PM,0.4465,0.000,,
233,03/22/18 03:56:00 PM,0.4465,0.000,,
234,03/22/18 03:56:30 PM,0.4465,0.000,,
235,03/22/18 03:57:00 PM,0.4465,0.000,,
236,03/22/18 03:57:30 PM,0.4465,0.000,,
237,03/22/18 03:58:00 PM,0.4465,0.000,,
238,03/22/18 03:58:30 PM,0.4465,0.000,,
239,03/22/18 03:59:00 PM,0.4465,0.000,,
240,03/22/18 03:59:30 PM,0.4465,0.000,,
241,03/22/18 04:00:00 PM,0.4465,0.000,0.4465,0.000
242,03/22/18 04:00:30 PM,0.4465,0.000,,
243,03/22/18 04:01:00 PM,0.4465,0.000,,
244,03/22/18 04:01:30 PM,0.4465,0.000,,
245,03/22/18 04:02:00 PM,0.4465,0.000,,
246,03/22/18 04:02:30 PM,0.4465,0.000,,
247,03/22/18 04:03:00 PM,0.4465,0.000,,
248,03/22/18 04:03:30 PM,0.4465,0.000,,
249,03/22/18 04:04:00 PM,0.4465,0.000,,
250,03/22/18 04:04:30 PM,0.4465,0.000,,
251,03/22/18 04:05:00 PM,0.4465,0.000,0.4465,0.000
252,03/22/18 04:05:30 PM,0.4465,0.000,,
253,03/22/18 04:06:00 PM,0.4465,0.000,,
254,03/22/18 04:06:30 PM,0.4465,0.000,,
255,03/22/18 04:07:00 PM,0.4465,0.000,,
256,03/22/18 04:07:30 PM,0.4465,0.000,,
257,03/22/18 04:08:00 PM,0.4465,0.000,,
258,03/22/18 04:08:30 PM,0.4465,0.000,,
259,03/22/18 04:09:00 PM,0.4465,0.000,,
260,03/22/18 04:09:30 PM,0.4465,0.000,,
261,03/22/18 04:10:00 PM,0.4465,0.000,0.4524,0.000
262,03/22/18 04:10:30 PM,0.4465,0.000,,
263,03/22/18 04:11:00 PM,0.4465,0.000,,
264,03/22/18 04:11:30 PM,0.4465,0.000,,
265,03/22/18 04:12:00 PM,0.4465,0.000,,
266,03/22/18 04:12:30 PM,0.4465,0.000,,
267,03/22/18 04:13:00 PM,0.4465,0.000,,
268,03/22/18 04:13:30 PM,0.4465,0.000,,
269,03/22/18 04:14:00 PM,0.4524,0.000,,
270,03/22/18 04:14:30 PM,0.4524,0.000,,
271,03/22/18 04:15:00 PM,0.4524,0.000,0.4524,0.000
272,03/22/18 04:15:30 PM,0.4465,0.000,,
273,03/22/18 04:16:00 PM,0.4465,0.000,,
274,03/22/18 04:16:30 PM,0.4465,0.000,,
275,03/22/18 04:17:00 PM,0.4465,0.000,,
276,03/22/18 04:17:30 PM,0.4465,0.000,,
277,03/22/18 04:18:00 PM,0.4465,0.000,,
278,03/22/18 04:18:30 PM,0.4465,0.000,,
279,03/22/18 04:19:00 PM,0.4465,0.000,,
280,03/22/18 04:19:30 PM,0.4465,0.000,,
281,03/22/18 04:20:00 PM,0.4465,0.000,0.4465,0.000
282,03/22/18 04:20:30 PM,0.4465,0.000,,
283,03/22/18 04:21:00 PM,0.4465,0.000,,
284,03/22/18 04:21:30 PM,0.4465,0.000,,
285,03/22/18 04:22:00 PM,0.4465,0.000,,
286,03/22/18 04:22:30 PM,0.4465,0.000,,
287,03/22/18 04:23:00 PM,0.4465,0.000,,
288,03/22/18 04:23:30 PM,0.4465,0.000,,
289,03/22/18 04:24:00 PM,0.4465,0.000,,
290,03/22/18 04:24:30 PM,0.4465,0.000,,
291,03/22/18 04:25:00 PM,0.4465,0.000,0.4524,0.000
292,03/22/18 04:25:30 PM,0.4465,0.000,,
293,03/22/18 04:26:00 PM,0.4465,0.000,,
294,03/22/18 04:26:30 PM,0.4465,0.000,,
295,03/22/18 04:27:00 PM,0.4524,0.000,,
296,03/22/18 04:27:30 PM,0.4465,0.000,,
297,03/22/18 04:28:00 PM,0.4524,0.000,,
298,03/22/18 04:28:30 PM,0.4524,0.000,,
299,03/22/18 04:29:00 PM,0.4465,0.000,,
300,03/22/18 04:29:30 PM,0.4524,0.000,,
301,03/22/18 04:30:00 PM,0.4524,0.000,0.4524,0.000
302,03/22/18 04:30:30 PM,0.4524,0.000,,
303,03/22/18 04:31:00 PM,0.4465,0.000,,
304,03/22/18 04:31:30 PM,0.4465,0.000,,
305,03/22/18 04:32:00 PM,0.4465,0.000,,
306,03/22/18 04:32:30 PM,0.4524,0.000,,
307,03/22/18 04:33:00 PM,0.4524,0.000,,
308,03/22/18 04:33:30 PM,0.4524,0.000,,
309,03/22/18 04:34:00 PM,0.4524,0.000,,
310,03/22/18 04:34:30 PM,0.4524,0.000,,
311,03/22/18 04:35:00 PM,0.4524,0.000,0.4524,0.000
312,03/22/18 04:35:30 PM,0.4524,0.000,,
313,03/22/18 04:36:00 PM,0.4524,0.000,,
314,03/22/18 04:36:30 PM,0.4524,0.000,,
315,03/22/18 04:37:00 PM,0.4524,0.000,,
316,03/22/18 04:37:30 PM,0.4524,0.000,,
317,03/22/18 04:38:00 PM,0.4524,0.000,,
318,03/22/18 04:38:30 PM,0.4524,0.000,,
319,03/22/18 04:39:00 PM,0.4524,0.000,,
320,03/22/18 04:39:30 PM,0.4524,0.000,,
321,03/22/18 04:40:00 PM,0.4524,0.000,0.4524,0.000
322,03/22/18 04:40:30 PM,0.4524,0.000,,
323,03/22/18 04:41:00 PM,0.4524,0.000,,
324,03/22/18 04:41:30 PM,0.4524,0.000,,
325,03/22/18 04:42:00 PM,0.4524,0.000,,
326,03/22/18 04:42:30 PM,0.4524,0.000,,
327,03/22/18 04:43:00 PM,0.4524,0.000,,
328,03/22/18 04:43:30 PM,0.4524,0.000,,
329,03/22/18 04:44:00 PM,0.4524,0.000,,
330,03/22/18 04:44:30 PM,0.4524,0.000,,
331,03/22/18 04:45:00 PM,0.4524,0.000,0.4524,0.000
332,03/22/18 04:45:30 PM,0.4524,0.000,,
333,03/22/18 04:46:00 PM,0.4524,0.000,,
334,03/22/18 04:46:30 PM,0.4524,0.000,,
335,03/22/18 04:47:00 PM,0.4524,0.000,,
336,03/22/18 04:47:30 PM,0.4524,0.000,,
337,03/22/18 04:48:00 PM,0.4524,0.000,,
338,03/22/18 04:48:30 PM,0.4524,0.000,,
339,03/22/18 04:49:00 PM,0.4524,0.000,,
340,03/22/18 04:49:30 PM,0.4524,0.000,,
341,03/22/18 04:50:00 PM,0.4524,0.000,0.4524,0.000
342,03/22/18 04:50:30 PM,0.4524,0.000,,
343,03/22/18 04:51:00 PM,0.4524,0.000,,
344,03/22/18 04:51:30 PM,0.4524,0.000,,
345,03/22/18 04:52:00 PM,0.4524,0.000,,
346,03/22/18 04:52:30 PM,0.4524,0.000,,
347,03/22/18 04:53:00 PM,0.4524,0.000,,
348,03/22/18 04:53:30 PM,0.4524,0.000,,
349,03/22/18 04:54:00 PM,0.4524,0.000,,
350,03/22/18 04:54:30 PM,0.4524,0.000,,
351,03/22/18 04:55:00 PM,0.4524,0.000,0.4524,0.000
352,03/22/18 04:55:30 PM,0.4524,0.000,,
353,03/22/18 04:56:00 PM,0.4524,0.000,,
354,03/22/18 04:56:30 PM,0.4524,0.000,,
355,03/22/18 04:57:00 PM,0.4524,0.000,,
356,03/22/18 04:57:30 PM,0.4524,0.000,,
357,03/22/18 04:58:00 PM,0.4524,0.000,,
358,03/22/18 04:58:30 PM,0.4524,0.000,,
359,03/22/18 04:59:00 PM,0.4524,0.000,,
360,03/22/18 04:59:30 PM,0.4524,0.000,,
361,03/22/18 05:00:00 PM,0.4524,0.000,0.4524,0.000
362,03/22/18 05:00:30 PM,0.4524,0.000,,
363,03/22/18 05:01:00 PM,0.4524,0.000,,
364,03/22/18 05:01:30 PM,0.4524,0.000,,
365,03/22/18 05:02:00 PM,0.4524,0.000,,
